date,melatonin,light,tray_id,cultivar,LFW_g,LDW_g,LA_mm2,RFW_g,RDW_g,area,perimeter,axis_major,axis_minor,eccentricity,convex_hull,compactness,extent,diameter,cf,area_cm2,cum_dli,inc_light,tipburn,percent_tipburn
10/30/2023,5,Y,1,C,27.99,1.34,460.75,2.26,0.09,7437,422.49,128.58,78.87,0.79,8922,0.83,0.66,97.31,62.89,118.25,185.56,219.43,0,0
10/30/2023,5,Y,1,D,60.4,2.38,884.72,5.77,0.2,9813,434.49,128.9,99.44,0.64,10848,0.9,0.7,111.78,62.89,156.03,185.56,289.54,0,0
10/30/2023,5,Y,1,C,36.86,1.5,516.76,2.54,0.1,10706,472.48,122.09,117.9,0.26,12015,0.89,0.67,116.75,62.89,170.23,185.56,315.89,0,0
10/30/2023,5,Y,1,C,36.42,1.7,559.21,2.42,0.1,9990,462.88,121.9,108.73,0.45,11010,0.91,0.74,112.78,62.89,158.85,185.56,294.76,0,0
10/30/2023,5,Y,1,C,27.89,1.43,474.77,1.78,0.07,8483,442.29,121.88,94.44,0.63,9857,0.86,0.65,103.93,62.89,134.89,185.56,250.3,0,0
10/30/2023,5,Y,1,D,44.6,1.92,759.82,4.09,0.14,10172,453.1,134.93,100.62,0.67,11216,0.91,0.6,113.8,62.89,161.74,185.56,300.13,0,0
10/30/2023,5,Y,1,D,57.79,2.2,817.19,6.12,0.21,9577,442.09,141.15,89.62,0.77,10383,0.92,0.66,110.43,62.89,152.28,185.56,282.57,0,0
10/30/2023,5,Y,1,C,31.91,1.45,416.21,2.57,0.1,8893,514.96,121.2,108.68,0.44,11644,0.76,0.6,106.41,62.89,141.41,185.56,262.39,0,0
10/30/2023,5,Y,1,D,48.35,2.03,673.54,4.83,0.17,8533,388.53,117.17,94.63,0.59,9156,0.93,0.71,104.23,62.89,135.68,185.56,251.77,0,0
10/30/2023,5,Y,1,C,33.31,1.75,480.4,1.91,0.09,7493,385.81,106.8,95.23,0.45,8495,0.88,0.65,97.67,62.89,119.14,185.56,221.08,0,0
10/30/2023,5,Y,1,D,47.45,2.01,745.06,3.78,0.13,10955,439.99,137.1,107.33,0.62,11758,0.93,0.68,118.1,62.89,174.19,185.56,323.23,0,0
10/30/2023,5,Y,1,C,35.9,1.66,505.22,2.5,0.1,8122,412.53,116.73,94.52,0.59,9205,0.88,0.73,101.69,62.89,129.15,185.56,239.64,0,0
10/30/2023,5,Y,1,D,52.16,1.99,736.9,4.44,0.15,10326,514.48,136.94,105.15,0.64,12139,0.85,0.75,114.66,62.89,164.19,185.56,304.67,0,0
10/30/2023,5,Y,1,C,38.21,1.65,586.44,2.22,0.09,9390,433.4,122.73,102.55,0.55,10773,0.87,0.63,109.34,62.89,149.31,185.56,277.06,0,0
10/30/2023,5,Y,1,C,29.67,1.35,435.8,2.13,0.08,8466,433.61,125.22,94.9,0.65,9935,0.85,0.66,103.82,62.89,134.62,185.56,249.79,0,0
10/30/2023,5,Y,1,D,51.54,2.02,843.69,5.1,0.17,10801,443.61,124.57,115.34,0.38,11643,0.93,0.8,117.27,62.89,171.74,185.56,318.69,0,0
10/30/2023,5,Y,1,C,28.62,1.25,476.15,1.65,0.07,9994,447.16,126.63,107.03,0.53,11245,0.89,0.7,112.8,62.89,158.91,185.56,294.88,0,0
10/30/2023,5,Y,1,D,53.22,2.24,725.17,5.57,0.19,11773,470.13,141.61,110.77,0.62,12861,0.92,0.67,122.43,62.89,187.2,185.56,347.37,0,0
10/30/2023,5,Y,1,C,34.36,1.6,497.6,2.77,0.11,9247,483.75,121.19,107.91,0.46,11196,0.83,0.61,108.51,62.89,147.03,185.56,272.84,0,0
10/30/2023,5,Y,1,D,55.9,2.15,806.55,6.51,0.21,10706,447.5,136.76,103.63,0.65,11754,0.91,0.7,116.75,62.89,170.23,185.56,315.89,0,0
10/30/2023,5,Y,1,C,33.91,1.54,499.42,2.16,0.08,10002,419.46,122.24,107.74,0.47,10833,0.92,0.75,112.85,62.89,159.04,185.56,295.11,0,0
